Categories,Frequencies,Over Represented,Anti Motifs
1,0.0,0.0,0.0
2,640.0,0.04,0.0
3,2279.0,0.04,0.0
4,2070.0,,0.0
5,1121.0,,0.0
6,488.0,,0.01
7,1046.0,,0.0
8,687.0,,0.0
9,569.0,,0.0
10,700.0,,0.0
11,575.0,,0.02
12,987.0,,0.0
13,896.0,,0.0
14,722.0,,0.0
15,468.0,,0.01
16,359.0,,0.03
17,395.0,,0.0
18,244.0,,
19,136.0,,
20,892.0,,0.0
21,506.0,,0.0
22,534.0,,0.02
23,261.0,,
24,353.0,,0.02
25,144.0,,
26,198.0,,
27,73.0,,
28,49.0,,
29,0.0,,
30,1062.0,0.03,0.0
31,288.0,,0.0
32,839.0,,0.0
33,1076.0,,0.0
34,1101.0,0.03,0.0
35,532.0,,0.0
36,523.0,,0.0
37,516.0,,0.0
38,349.0,,0.0
39,124.0,,
40,489.0,,0.0
41,601.0,,0.01
42,396.0,,0.01
43,377.0,,0.03
44,228.0,,
45,297.0,,
46,240.0,,
47,153.0,,
48,164.0,,
49,120.0,,
50,80.0,,
51,54.0,,
52,188.0,,
53,106.0,,
54,156.0,,
55,54.0,,
56,19.0,,
57,15.0,,
58,0.0,,
59,560.0,,0.0
60,336.0,,0.0
61,756.0,,0.0
62,162.0,,
63,219.0,,0.01
64,222.0,,
65,364.0,,0.03
66,119.0,,
67,94.0,,
68,80.0,,
69,46.0,,
70,22.0,,
71,104.0,,
72,16.0,,
73,12.0,,
74,0.0,,
75,164.0,,0.0
76,275.0,,0.0
77,317.0,,0.0
78,269.0,,
79,175.0,,
80,272.0,,0.02
81,160.0,,
82,201.0,,
83,56.0,,
84,108.0,,
85,190.0,,
86,113.0,,
87,56.0,,
88,29.0,,
89,0.0,,
90,121.0,,0.04
91,309.0,,0.02
92,202.0,,
93,176.0,,0.04
94,147.0,,0.0
95,65.0,,
96,49.0,,
97,115.0,,0.02
98,69.0,,
99,140.0,,
100,78.0,,
101,27.0,,
102,101.0,,
103,185.0,,0.03
104,177.0,,
105,82.0,,
106,105.0,,
107,22.0,,
108,21.0,,
109,49.0,,
110,76.0,,
111,79.0,,
112,29.0,,
113,127.0,,
114,5.0,,
115,56.0,,
116,37.0,,
117,25.0,,
118,6.0,,
119,2.0,,
120,47.0,,
121,0.0,,
122,88.0,,
123,22.0,,
124,47.0,,
125,28.0,,
126,88.0,,
127,14.0,,
128,0.0,,
129,51.0,,
130,22.0,,
131,87.0,,0.02
132,24.0,,
133,59.0,,
134,13.0,,
135,14.0,,
136,17.0,,
137,36.0,,
138,55.0,,
139,54.0,,
140,17.0,,
141,42.0,,
142,149.0,,0.02
143,89.0,,0.03
144,89.0,,0.02
145,5.0,,
146,2.0,,
147,95.0,,
148,17.0,,
149,19.0,,
150,25.0,,
151,3.0,,
152,19.0,,
153,3.0,,
154,0.0,,
155,3.0,,
156,3.0,,
157,39.0,,
158,14.0,,
159,9.0,,
160,0.0,,
161,0.0,,
162,0.0,,
163,78.0,,
164,20.0,,
165,18.0,,
166,19.0,,
167,8.0,,
168,3.0,,
169,3.0,,
170,19.0,,
171,19.0,,
172,3.0,,
173,3.0,,
174,3.0,,
175,0.0,,
176,10.0,,
177,0.0,,
178,0.0,,
179,0.0,,
180,0.0,,
181,0.0,,
182,0.0,,
183,0.0,,
184,16.0,,
185,0.0,,
186,0.0,,
187,112.0,,
188,0.0,,
189,8.0,,
190,0.0,,
191,0.0,,
192,0.0,,
193,0.0,,
194,0.0,,
195,0.0,,
196,0.0,,
197,0.0,,
198,0.0,,
199,0.0,,
