Categories,Frequencies,Over Represented,Anti Motifs
1,0.0,0.0,0.0
2,270973.0,0.0,0.0
3,676382.0,0.0,0.0
4,694966.0,0.0,0.0
5,264089.0,0.0,0.0
6,143829.0,0.0,0.0
7,364933.0,0.0,0.0
8,276424.0,0.0,0.0
9,239816.0,0.0,0.0
10,256002.0,0.0,0.0
11,378417.0,0.0,0.0
12,258772.0,0.0,0.0
13,189173.0,0.0,0.0
14,165951.0,0.0,0.0
15,120043.0,0.0,0.0
16,123954.0,0.0,0.0
17,114834.0,0.0,0.0
18,92637.0,0.0,0.0
19,83434.0,0.0,0.0
20,156799.0,0.0,0.0
21,101682.0,0.0,0.0
22,152570.0,0.0,0.0
23,107569.0,0.0,0.0
24,103116.0,0.0,0.0
25,59439.0,0.0,0.0
26,65951.0,0.0,0.0
27,80738.0,0.0,0.0
28,61863.0,0.0,0.0
29,47883.0,0.0,0.0
30,313534.0,0.0,0.0
31,117573.0,0.0,0.0
32,149469.0,0.0,0.0
33,232125.0,0.0,0.0
34,177800.0,0.0,0.0
35,106430.0,0.0,0.0
36,130186.0,0.0,0.0
37,117784.0,0.0,0.0
38,90928.0,0.0,0.0
39,116025.0,0.0,0.0
40,88259.0,0.0,0.0
41,162215.0,0.0,0.0
42,136718.0,0.0,0.0
43,123413.0,0.0,0.0
44,86086.0,0.0,0.0
45,107051.0,0.0,0.0
46,99185.0,0.0,0.0
47,86009.0,0.0,0.0
48,78957.0,0.0,0.0
49,69463.0,0.0,0.0
50,58808.0,0.0,0.0
51,53923.0,0.0,0.0
52,78473.0,0.0,0.0
53,78958.0,0.0,0.0
54,77651.0,0.0,0.0
55,63847.0,0.0,0.0
56,52632.0,0.0,0.0
57,26787.0,0.0,0.0
58,35600.0,0.0,0.0
59,79352.0,0.0,0.0
60,53169.0,0.0,0.0
61,184224.0,0.0,0.0
62,63392.0,0.0,0.0
63,64106.0,0.0,0.0
64,97192.0,0.0,0.0
65,101838.0,0.0,0.0
66,50035.0,0.0,0.0
67,67983.0,0.0,0.0
68,37675.0,0.0,0.0
69,51227.0,0.0,0.0
70,17656.0,0.0,0.0
71,55898.0,0.0,0.0
72,26804.0,0.0,0.0
73,20948.0,0.0,0.0
74,26402.0,0.0,0.0
75,13501.0,0.0,0.0
76,33118.0,0.0,0.0
77,31890.0,0.0,0.0
78,50452.0,0.0,0.0
79,44885.0,0.0,0.0
80,37456.0,0.0,0.0
81,36744.0,0.0,0.0
82,37325.0,0.0,0.0
83,33547.0,0.0,0.0
84,26370.0,0.0,0.0
85,31806.0,0.0,0.0
86,20256.0,0.0,0.0
87,16243.0,0.0,0.0
88,22415.0,0.0,0.0
89,16437.0,0.0,0.0
90,17302.0,0.0,0.0
91,38659.0,0.0,0.0
92,37060.0,0.0,0.0
93,25074.0,0.0,0.0
94,13141.0,0.0,0.0
95,14083.0,0.0,0.0
96,25961.0,0.0,0.0
97,16777.0,0.0,0.0
98,26158.0,0.0,0.0
99,21759.0,0.0,0.0
100,22709.0,0.0,0.0
101,18229.0,0.0,0.0
102,19231.0,0.0,0.0
103,28242.0,0.0,0.0
104,36893.0,0.0,0.0
105,26743.0,0.0,0.0
106,27034.0,0.0,0.0
107,20958.0,0.0,0.0
108,18213.0,0.0,0.0
109,16824.0,0.0,0.0
110,14605.0,0.0,0.0
111,21501.0,0.0,0.0
112,16722.0,0.0,0.0
113,16340.0,0.0,0.0
114,11162.0,0.0,0.0
115,10978.0,0.0,0.0
116,18453.0,0.0,0.0
117,17205.0,0.0,0.0
118,18039.0,0.0,0.0
119,12468.0,0.0,0.0
120,13694.0,0.0,0.0
121,9922.0,0.0,0.0
122,17569.0,0.0,0.0
123,18499.0,0.0,0.0
124,17266.0,0.0,0.0
125,11400.0,0.0,0.0
126,17408.0,0.0,0.0
127,4795.0,0.0,0.0
128,13408.0,0.0,0.0
129,13699.0,0.0,0.0
130,18094.0,0.0,0.0
131,10401.0,0.0,0.0
132,8453.0,0.0,0.0
133,20329.0,0.0,0.0
134,16659.0,0.0,0.0
135,13289.0,0.0,0.0
136,12573.0,0.0,0.0
137,14830.0,0.0,0.0
138,17194.0,0.0,0.0
139,19366.0,0.0,0.0
140,13092.0,0.0,0.0
141,13037.0,0.0,0.0
142,13144.0,0.0,0.0
143,12515.0,0.0,0.0
144,11680.0,0.0,0.0
145,9388.0,0.0,0.0
146,9099.0,0.0,0.0
147,17612.0,0.0,0.0
148,8289.0,0.0,0.0
149,13746.0,0.0,0.0
150,13147.0,0.0,0.0
151,9083.0,0.0,0.0
152,7651.0,0.0,0.0
153,6801.0,0.0,0.0
154,6382.0,0.0,0.0
155,7551.0,0.0,0.0
156,11330.0,0.0,0.0
157,11366.0,0.0,0.0
158,6104.0,0.0,0.0
159,9221.0,0.0,0.0
160,6063.0,0.0,0.0
161,5395.0,0.0,0.0
162,7946.0,0.0,0.0
163,14025.0,0.0,0.0
164,5611.0,0.0,0.0
165,6891.0,0.0,0.0
166,5882.0,0.0,0.0
167,13685.0,0.0,0.0
168,11220.0,0.0,0.0
169,9666.0,0.0,0.0
170,11255.0,0.0,0.0
171,12451.0,0.0,0.0
172,7964.0,0.0,0.0
173,9167.0,0.0,0.0
174,8103.0,0.0,0.0
175,6817.0,0.0,0.0
176,9826.0,0.0,0.0
177,4252.0,0.0,0.0
178,3482.0,0.0,0.0
179,5827.0,0.0,0.0
180,4994.0,0.0,0.0
181,4222.0,0.0,0.0
182,3700.0,0.0,0.0
183,5560.0,0.0,0.0
184,4648.0,0.0,0.0
185,7893.0,0.0,0.0
186,3924.0,0.0,0.0
187,8331.0,0.0,0.0
188,831.0,0.0,0.0
189,2183.0,0.0,0.0
190,2357.0,0.0,0.0
191,5080.0,0.0,0.0
192,4009.0,0.0,0.0
193,2222.0,0.0,0.0
194,926.0,0.0,0.0
195,4307.0,0.0,0.0
196,931.0,0.0,0.0
197,1948.0,0.0,0.0
198,1646.0,0.0,0.0
199,1044.0,0.0,0.0
