Categories,Frequencies,Over Represented,Anti Motifs
1,0.0,0.0,
2,264734.0,0.0,
3,690661.0,0.0,
4,679722.0,0.0,
5,285072.0,0.0,
6,149199.0,0.0,
7,365254.0,0.0,
8,312755.0,0.0,
9,256792.0,0.0,
10,264680.0,0.0,
11,386616.0,0.0,
12,276072.0,0.0,
13,229594.0,0.0,
14,190679.0,0.0,
15,150508.0,0.0,
16,158692.0,0.0,
17,133342.0,0.0,
18,108481.0,0.0,
19,95316.0,0.0,
20,161643.0,0.0,
21,114696.0,0.0,
22,171498.0,0.0,
23,129423.0,0.0,
24,119368.0,0.0,
25,61038.0,0.0,
26,70607.0,0.0,
27,94255.0,0.0,
28,68062.0,0.0,
29,51060.0,0.0,
30,298847.0,0.0,
31,113971.0,0.0,
32,157685.0,0.0,
33,243845.0,0.0,
34,184592.0,0.0,
35,112698.0,0.0,
36,143192.0,0.0,
37,128797.0,0.0,
38,102495.0,0.0,
39,107111.0,0.0,
40,86344.0,0.0,
41,174404.0,0.0,
42,154730.0,0.0,
43,126114.0,0.0,
44,104254.0,0.0,
45,113762.0,0.0,
46,100109.0,0.0,
47,89657.0,0.0,
48,81110.0,0.0,
49,80375.0,0.0,
50,65489.0,0.0,
51,58666.0,0.0,
52,83099.0,0.0,
53,91327.0,0.0,
54,86275.0,0.0,
55,71406.0,0.0,
56,53322.0,0.0,
57,29073.0,0.0,
58,36556.0,0.0,
59,71245.0,0.0,
60,49397.0,0.0,
61,174607.0,0.0,
62,59588.0,0.0,
63,63713.0,0.0,
64,99722.0,0.0,
65,97571.0,0.0,
66,47724.0,0.0,
67,66905.0,0.0,
68,36479.0,0.0,
69,55524.0,0.0,
70,19489.0,0.0,
71,58314.0,0.0,
72,24780.0,0.0,
73,21759.0,0.0,
74,24936.0,0.0,
75,13192.0,0.0,
76,36487.0,0.0,
77,36617.0,0.0,
78,63730.0,0.0,
79,55916.0,0.0,
80,45727.0,0.0,
81,45207.0,0.0,
82,40795.0,0.0,
83,37063.0,0.0,
84,31896.0,0.0,
85,36161.0,0.0,
86,24063.0,0.0,
87,18650.0,0.0,
88,27034.0,0.0,
89,18425.0,0.0,
90,18513.0,0.0,
91,41794.0,0.0,
92,40130.0,0.0,
93,31549.0,0.0,
94,18681.0,0.0,
95,19324.0,0.0,
96,32863.0,0.0,
97,23015.0,0.0,
98,36068.0,0.0,
99,27809.0,0.0,
100,28102.0,0.0,
101,22441.0,0.0,
102,24935.0,0.0,
103,32933.0,0.0,
104,48212.0,0.0,
105,32314.0,0.0,
106,35817.0,0.0,
107,24287.0,0.0,
108,22438.0,0.0,
109,17275.0,0.0,
110,17723.0,0.0,
111,26855.0,0.0,
112,20527.0,0.0,
113,19795.0,0.0,
114,14438.0,0.0,
115,14657.0,0.0,
116,24516.0,0.0,
117,21392.0,0.0,
118,23102.0,0.0,
119,15102.0,0.0,
120,17252.0,0.0,
121,12014.0,0.0,
122,18355.0,0.0,
123,20799.0,0.0,
124,19555.0,0.0,
125,14227.0,0.0,
126,20765.0,0.0,
127,5780.0,0.0,
128,15325.0,0.0,
129,16179.0,0.0,
130,21099.0,0.0,
131,11266.0,0.0,
132,11276.0,0.0,
133,26145.0,0.0,
134,19209.0,0.0,
135,16355.0,0.0,
136,16071.0,0.0,
137,19156.0,0.0,
138,18621.0,0.0,
139,20761.0,0.0,
140,15899.0,0.0,
141,15934.0,0.0,
142,13695.0,0.0,
143,15313.0,0.0,
144,14301.0,0.0,
145,11877.0,0.0,
146,11559.0,0.0,
147,20127.0,0.0,
148,9788.0,0.0,
149,16461.0,0.0,
150,16052.0,0.0,
151,11647.0,0.0,
152,9027.0,0.0,
153,8488.0,0.0,
154,7996.0,0.0,
155,7846.0,0.0,
156,12935.0,0.0,
157,13985.0,0.0,
158,7693.0,0.0,
159,10870.0,0.0,
160,7574.0,0.0,
161,6428.0,0.0,
162,9395.0,0.0,
163,12488.0,0.0,
164,5467.0,0.0,
165,6841.0,0.0,
166,6787.0,0.0,
167,14838.0,0.0,
168,13442.0,0.0,
169,11764.0,0.0,
170,13038.0,0.0,
171,15045.0,0.0,
172,9232.0,0.0,
173,9749.0,0.0,
174,8793.0,0.0,
175,8141.0,0.0,
176,11720.0,0.0,
177,5064.0,0.0,
178,4382.0,0.0,
179,6813.0,0.0,
180,5656.0,0.0,
181,3758.0,0.0,
182,4112.0,0.0,
183,6728.0,0.0,
184,5419.0,0.0,
185,8918.0,0.0,
186,4378.0,0.0,
187,9613.0,0.0,
188,1066.0,0.0,
189,2639.0,0.0,
190,2738.0,0.0,
191,5658.0,0.0,
192,4617.0,0.0,
193,2434.0,0.0,
194,1065.0,0.0,
195,4007.0,0.0,
196,1031.0,0.0,
197,1951.0,0.0,
198,1710.0,0.0,
199,756.0,0.0,
