Categories,Frequencies,Over Represented,Anti Motifs
2,74.0,,
3,23.0,,
4,12.0,,
5,65.0,,
6,3.0,,
7,9.0,,
8,11.0,,
9,31.0,,
11,9.0,,
12,19.0,,
13,5.0,,
14,3.0,,
15,11.0,,
17,3.0,,
18,2.0,,
19,1.0,,
20,6.0,,
21,41.0,,
22,2.0,,
23,13.0,,
24,2.0,,
25,19.0,,
26,7.0,,
27,11.0,,
29,1.0,,
31,45.0,,
32,24.0,,
33,25.0,,
34,3.0,,
35,36.0,,
36,1.0,,
37,3.0,,
38,1.0,,
39,12.0,,
40,11.0,,
41,12.0,,
42,4.0,,
43,19.0,,
44,21.0,,
45,2.0,,
47,7.0,,
48,8.0,,
49,16.0,,
50,2.0,,
52,4.0,,
53,1.0,,
54,7.0,,
55,1.0,,
56,5.0,,
60,50.0,,
61,7.0,,
62,41.0,,
63,2.0,,
64,2.0,,
65,3.0,,
66,32.0,,
67,21.0,,
68,8.0,,
71,2.0,,
72,12.0,,
73,2.0,,
74,2.0,,
76,8.0,,
78,7.0,,
79,1.0,,
82,3.0,,
85,2.0,,
86,6.0,,
87,1.0,,
89,1.0,,
91,1.0,,
93,4.0,,
95,5.0,,
97,7.0,,
98,2.0,,
103,3.0,,
104,1.0,,
107,3.0,,
111,4.0,,
112,4.0,,
113,6.0,,
117,3.0,,
125,4.0,,
127,12.0,,
133,3.0,,
136,1.0,,
137,4.0,,
140,2.0,,
141,5.0,,
142,6.0,,
143,1.0,,
147,2.0,,
148,9.0,,
154,3.0,,
158,2.0,,
159,3.0,,
160,6.0,,
164,6.0,,
165,6.0,,
166,3.0,,
175,3.0,,
177,3.0,,
