Categories,Frequencies,Over Represented,Anti Motifs
1,0.0,0.0,0.0
2,74.0,,
3,23.0,,
4,12.0,,
5,65.0,,
6,3.0,,
7,9.0,,
8,11.0,,
9,31.0,,
10,0.0,,
11,9.0,,
12,19.0,,
13,5.0,,
14,3.0,,
15,11.0,,
16,0.0,,
17,3.0,,
18,2.0,,
19,1.0,,
20,6.0,,
21,41.0,,
22,2.0,,
23,13.0,,
24,2.0,,
25,19.0,,
26,7.0,,
27,11.0,,
28,0.0,,
29,1.0,,
30,0.0,,
31,45.0,,
32,24.0,,
33,25.0,,
34,3.0,,
35,36.0,,
36,1.0,,
37,3.0,,
38,1.0,,
39,12.0,,
40,11.0,,
41,12.0,,
42,4.0,,
43,19.0,,
44,21.0,,
45,2.0,,
46,0.0,,
47,7.0,,
48,8.0,,
49,16.0,,
50,2.0,,
51,0.0,,
52,4.0,,
53,1.0,,
54,7.0,,
55,1.0,,
56,5.0,,
57,0.0,,
58,0.0,,
59,0.0,,
60,50.0,,
61,7.0,,
62,41.0,,
63,2.0,,
64,2.0,,
65,3.0,,
66,32.0,,
67,21.0,,
68,8.0,,
69,0.0,,
70,0.0,,
71,2.0,,
72,12.0,,
73,2.0,,
74,2.0,,
75,0.0,,
76,8.0,,
77,0.0,,
78,7.0,,
79,1.0,,
80,0.0,,
81,0.0,,
82,3.0,,
83,0.0,,
84,0.0,,
85,2.0,,
86,6.0,,
87,1.0,,
88,0.0,,
89,1.0,,
90,0.0,,
91,1.0,,
92,0.0,,
93,4.0,,
94,0.0,,
95,5.0,,
96,0.0,,
97,7.0,,
98,2.0,,
99,0.0,,
100,0.0,,
101,0.0,,
102,0.0,,
103,3.0,,
104,1.0,,
105,0.0,,
106,0.0,,
107,3.0,,
108,0.0,,
109,0.0,,
110,0.0,,
111,4.0,,
112,4.0,,
113,6.0,,
114,0.0,,
115,0.0,,
116,0.0,,
117,3.0,,
118,0.0,,
119,0.0,,
120,0.0,,
121,0.0,,
122,0.0,,
123,0.0,,
124,0.0,,
125,4.0,,
126,0.0,,
127,12.0,,
128,0.0,,
129,0.0,,
130,0.0,,
131,0.0,,
132,0.0,,
133,3.0,,
134,0.0,,
135,0.0,,
136,1.0,,
137,4.0,,
138,0.0,,
139,0.0,,
140,2.0,,
141,5.0,,
142,6.0,,
143,1.0,,
144,0.0,,
145,0.0,,
146,0.0,,
147,2.0,,
148,9.0,,
149,0.0,,
150,0.0,,
151,0.0,,
152,0.0,,
153,0.0,,
154,3.0,,
155,0.0,,
156,0.0,,
157,0.0,,
158,2.0,,
159,3.0,,
160,6.0,,
161,0.0,,
162,0.0,,
163,0.0,,
164,6.0,,
165,6.0,,
166,3.0,,
167,0.0,,
168,0.0,,
169,0.0,,
170,0.0,,
171,0.0,,
172,0.0,,
173,0.0,,
174,0.0,,
175,3.0,,
176,0.0,,
177,3.0,,
178,0.0,,
179,0.0,,
180,0.0,,
181,0.0,,
182,0.0,,
183,0.0,,
184,0.0,,
185,0.0,,
186,0.0,,
187,0.0,,
188,0.0,,
189,0.0,,
190,0.0,,
191,0.0,,
192,0.0,,
193,0.0,,
194,0.0,,
195,0.0,,
196,0.0,,
197,0.0,,
198,0.0,,
199,0.0,,
