Categories,Frequencies,Over Represented,Anti Motifs
2,152.0,,1.0
3,49.0,,1.0
4,49.0,,1.0
5,100.0,,1.0
6,9.0,,1.0
7,6.0,,1.0
8,26.0,,1.0
9,51.0,,1.0
10,18.0,,1.0
11,27.0,,1.0
12,44.0,,1.0
13,8.0,,1.0
14,7.0,,1.0
15,14.0,,1.0
17,2.0,,1.0
18,2.0,,1.0
20,12.0,,1.0
21,35.0,,1.0
22,1.0,,1.0
23,9.0,,1.0
25,20.0,,1.0
26,2.0,,1.0
27,1.0,,1.0
28,4.0,,1.0
30,1.0,,1.0
31,74.0,,1.0
32,34.0,,1.0
33,7.0,,1.0
34,4.0,,1.0
35,34.0,,1.0
36,4.0,,1.0
37,14.0,,1.0
38,6.0,,1.0
39,10.0,,1.0
40,22.0,,1.0
41,18.0,,1.0
42,5.0,,1.0
43,22.0,,1.0
44,17.0,,1.0
47,3.0,,1.0
48,15.0,,1.0
49,7.0,,1.0
53,4.0,,1.0
54,1.0,,1.0
56,9.0,,1.0
57,2.0,,1.0
58,3.0,,1.0
59,5.0,,1.0
60,63.0,,1.0
61,5.0,,1.0
62,29.0,,1.0
63,2.0,,1.0
64,6.0,,1.0
65,10.0,,1.0
66,29.0,,1.0
67,11.0,,1.0
68,4.0,,1.0
72,10.0,,1.0
74,3.0,,1.0
76,6.0,,1.0
83,1.0,,1.0
91,1.0,,1.0
92,2.0,,1.0
93,1.0,,1.0
97,1.0,,1.0
104,2.0,,1.0
109,1.0,,1.0
110,1.0,,1.0
125,1.0,,1.0
126,2.0,,1.0
127,5.0,,0.97
140,3.0,,1.0
141,3.0,,1.0
143,4.0,,1.0
148,2.0,,1.0
158,1.0,,1.0
160,2.0,,1.0
164,2.0,,1.0
177,3.0,,1.0
181,3.0,,1.0
