Categories,Frequencies,Over Represented,Anti Motifs
1,0.0,0.0,
2,152.0,,1.0
3,49.0,,1.0
4,49.0,,1.0
5,100.0,,1.0
6,9.0,,1.0
7,6.0,,1.0
8,26.0,,1.0
9,51.0,,1.0
10,18.0,,1.0
11,27.0,,1.0
12,44.0,,1.0
13,8.0,,1.0
14,7.0,,1.0
15,14.0,,1.0
16,0.0,,1.0
17,2.0,,1.0
18,2.0,,1.0
19,0.0,,1.0
20,12.0,,1.0
21,35.0,,1.0
22,1.0,,1.0
23,9.0,,1.0
24,0.0,,1.0
25,20.0,,1.0
26,2.0,,1.0
27,1.0,,1.0
28,4.0,,1.0
29,0.0,,1.0
30,1.0,,1.0
31,74.0,,1.0
32,34.0,,1.0
33,7.0,,1.0
34,4.0,,1.0
35,34.0,,1.0
36,4.0,,1.0
37,14.0,,1.0
38,6.0,,1.0
39,10.0,,1.0
40,22.0,,1.0
41,18.0,,1.0
42,5.0,,1.0
43,22.0,,1.0
44,17.0,,1.0
45,0.0,,1.0
46,0.0,,1.0
47,3.0,,1.0
48,15.0,,1.0
49,7.0,,1.0
50,0.0,,1.0
51,0.0,,1.0
52,0.0,,1.0
53,4.0,,1.0
54,1.0,,1.0
55,0.0,,1.0
56,9.0,,1.0
57,2.0,,1.0
58,3.0,,1.0
59,5.0,,1.0
60,63.0,,1.0
61,5.0,,1.0
62,29.0,,1.0
63,2.0,,1.0
64,6.0,,1.0
65,10.0,,1.0
66,29.0,,1.0
67,11.0,,1.0
68,4.0,,1.0
69,0.0,,1.0
70,0.0,,1.0
71,0.0,,1.0
72,10.0,,1.0
73,0.0,,1.0
74,3.0,,1.0
75,0.0,,1.0
76,6.0,,1.0
77,0.0,,1.0
78,0.0,,1.0
79,0.0,,1.0
80,0.0,,1.0
81,0.0,,1.0
82,0.0,,1.0
83,1.0,,1.0
84,0.0,,1.0
85,0.0,,1.0
86,0.0,,1.0
87,0.0,,1.0
88,0.0,,1.0
89,0.0,,1.0
90,0.0,,1.0
91,1.0,,1.0
92,2.0,,1.0
93,1.0,,1.0
94,0.0,,1.0
95,0.0,,1.0
96,0.0,,1.0
97,1.0,,1.0
98,0.0,,1.0
99,0.0,,1.0
100,0.0,,1.0
101,0.0,,1.0
102,0.0,,1.0
103,0.0,,1.0
104,2.0,,1.0
105,0.0,,1.0
106,0.0,,1.0
107,0.0,,1.0
108,0.0,,1.0
109,1.0,,1.0
110,1.0,,1.0
111,0.0,,1.0
112,0.0,,1.0
113,0.0,,1.0
114,0.0,,1.0
115,0.0,,1.0
116,0.0,,1.0
117,0.0,,1.0
118,0.0,,1.0
119,0.0,,1.0
120,0.0,,1.0
121,0.0,,1.0
122,0.0,,1.0
123,0.0,,1.0
124,0.0,,1.0
125,1.0,,1.0
126,2.0,,1.0
127,5.0,,0.97
128,0.0,,1.0
129,0.0,,1.0
130,0.0,,1.0
131,0.0,,1.0
132,0.0,,1.0
133,0.0,,1.0
134,0.0,,1.0
135,0.0,,1.0
136,0.0,,1.0
137,0.0,,1.0
138,0.0,,1.0
139,0.0,,1.0
140,3.0,,1.0
141,3.0,,1.0
142,0.0,,1.0
143,4.0,,1.0
144,0.0,,1.0
145,0.0,,1.0
146,0.0,,1.0
147,0.0,,1.0
148,2.0,,1.0
149,0.0,,1.0
150,0.0,,1.0
151,0.0,,1.0
152,0.0,,1.0
153,0.0,,1.0
154,0.0,,1.0
155,0.0,,1.0
156,0.0,,1.0
157,0.0,,1.0
158,1.0,,1.0
159,0.0,,1.0
160,2.0,,1.0
161,0.0,,1.0
162,0.0,,1.0
163,0.0,,1.0
164,2.0,,1.0
165,0.0,,1.0
166,0.0,,1.0
167,0.0,,1.0
168,0.0,,1.0
169,0.0,,1.0
170,0.0,,1.0
171,0.0,,1.0
172,0.0,,1.0
173,0.0,,1.0
174,0.0,,1.0
175,0.0,,1.0
176,0.0,,1.0
177,3.0,,1.0
178,0.0,,1.0
179,0.0,,1.0
180,0.0,,1.0
181,3.0,,1.0
182,0.0,,1.0
183,0.0,,1.0
184,0.0,,1.0
185,0.0,,1.0
186,0.0,,1.0
187,0.0,,1.0
188,0.0,,1.0
189,0.0,,1.0
190,0.0,,1.0
191,0.0,,1.0
192,0.0,,1.0
193,0.0,,1.0
194,0.0,,1.0
195,0.0,,1.0
196,0.0,,1.0
197,0.0,,1.0
198,0.0,,1.0
199,0.0,,1.0
